Model,threshold,resolution,energy,energy_diff
LM,50,0.5,-130.747200161651,0.015664821638011972
LM,60,0.1,-130.7908988596,0.04108877011199752
LM,60,0.1,-130.811122431369,0.015508602296989693
LM,40,0.1,-130.796933277655,0.03163719814901356
LM,40,0.1,-130.815143891546,0.010975376881987131
LM,40,0.1,-130.795093006153,0.02771717089800063
LM,40,1.2,-142.24189765260203,0.053475889396963794
LM,40,1.2,-142.244584734905,0.05105324100500752
LM,40,1.2,-142.248251125236,0.03818375290200038
LM,40,1.2,-142.253674197524,0.04286164258800795
LM,40,1.2,-142.246860743463,0.04485463167199555
LM,40,1.2,-142.246779477556,0.0488229920709955
LM,80,0.7,-139.52747335188297,0.011108881398030235
