Model,threshold,Number of Clusters,energy,energy_diff
SC,75,2,-227.323011337209,0.046054241836003484
SC,75,2,-227.325236427566,0.04564220422997778
SC,60,2,-176.919847094234,0.10118272399799366
SC,60,2,-176.916386160494,0.09527243975901456
SC,60,2,-176.911572745387,0.09744739768800059
SC,65,14,-176.914240464829,0.09777569285799359
SC,60,2,-176.913775418893,0.09971818048398973
SC,50,14,-176.88724557555,0.12318713928101488
SC,70,7,-178.018122885176,0.01928440444899593
SC,50,13,-178.009918008894,0.010449772148007241
SC,80,7,-178.009233690697,0.012343462410001393
SC,50,7,-178.004395087293,0.011986240831987516
SC,40,7,-178.00415544052998,0.013718440627002337
SC,40,7,-134.485434999153,0.0111322714710127
SC,40,6,-134.485883744625,0.013241883435995305
SC,40,6,-130.754650648773,0.013127882696011284
SC,40,6,-130.84074661646,0.017936439408998694
SC,45,14,-142.26457233073398,0.030801211265014672
SC,50,13,-142.26566714742702,0.0299708284829876
SC,45,13,-142.250246931404,0.03618794673400316
SC,40,13,-142.26333610767,0.03319973244200014
SC,85,14,-142.266342987863,0.025372387272000196
SC,40,14,-142.266026734545,0.029575735082005394
SC,40,6,-131.791981285318,0.011268496437992326
SC,40,5,-139.54975772122302,0.010325049246006301
SC,40,5,-139.548922552247,0.01271568990199512
SC,40,5,-139.54336522904,0.013512867562013753
SC,40,5,-139.547562435621,0.017149397661995636
SC,40,4,-139.51629616267098,0.014616941330018562
